'', r, RMSE, MAE, MAPE, R2
Overall , 0.99 , 1.74 , 1.14 , 0.0 , 0.99
1 , 0.54 , 3.07 , 2.29 , 0.01 , 0.28
2 , 0.86 , 3.09 , 2.76 , 0.01 , 0.41
3 , 0.81 , 2.82 , 2.57 , 0.01 , 0.35
5 , 0.82 , 2.13 , 1.45 , 0.01 , 0.6
7 , 0.82 , 2.16 , 1.76 , 0.01 , 0.52
10 , 0.87 , 1.32 , 0.96 , 0.0 , 0.75
20 , 0.72 , 2.07 , 1.55 , 0.01 , -0.11
30 , 0.69 , 1.59 , 1.33 , 0.01 , 0.29
50 , 0.85 , 1.37 , 1.09 , 0.01 , 0.47
70 , 0.83 , 1.89 , 1.25 , 0.01 , 0.64
100 , 0.89 , 0.74 , 0.64 , 0.0 , 0.72
125 , 0.76 , 0.43 , 0.35 , 0.0 , 0.2
150 , 0.70 , 0.37 , 0.3 , 0.0 , 0.11
175 , 0.78 , 0.34 , 0.26 , 0.0 , 0.42
200 , 0.76 , 0.39 , 0.28 , 0.0 , 0.42
225 , 0.83 , 0.36 , 0.26 , 0.0 , 0.55
250 , 0.83 , 0.36 , 0.26 , 0.0 , 0.57